Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1204   Time range: 09-Oct-2022 00:00:00.000 - 29-Jun-2023 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 221114_1302 14-Nov-2022 13:02:22 13:04:43 13:08:43    1.893    1105.9868766404  n5 n3 n1 n4
 221114_1727 14-Nov-2022 17:27:13 17:28:59 17:35:37   16.159     633.5972222222  n1 n3 n0 n5
 221114_1925 14-Nov-2022 19:25:15 19:27:51 19:34:32   10.786     573.5834829443  n5 n3 n1 n4
 221114_2114 14-Nov-2022 21:14:09 21:14:42 21:16:20    7.204     446.1679389313  n5 n1 n3 n0
 221115_0015 15-Nov-2022 00:15:16 00:15:40 00:16:29    1.329     247.6081081081  n1 n5 n3 n0
 221115_0249 15-Nov-2022 02:49:03 02:50:20 03:00:28   40.598    5133.1739766082  n5 n1 n3 n4
 221115_0303 15-Nov-2022 03:03:00 03:05:47 03:07:59    2.334     247.5418060201  n0 n1 n3 n5
 221115_0435 15-Nov-2022 04:35:08 04:36:58 04:45:59    1.519     268.0768049155  n5 n3 n1 n4
 221115_0446 15-Nov-2022 04:46:56 04:47:37 04:53:54    2.119     253.3971291866  n5 n3 n1 n0
 221115_0456 15-Nov-2022 04:56:34 04:59:10 05:01:49    1.078     219.6634920635  n5 n3 n1 n4
 221115_0639 15-Nov-2022 06:39:06 06:39:27 06:40:12    1.087     227.0151515152  n5 n1 n3 n0
 221115_0806 15-Nov-2022 08:06:40 08:07:12 08:08:47    2.865     364.7559055118  n5 n3 n1 n4
 221115_1040 15-Nov-2022 10:40:52 10:41:01 10:41:38    1.254     244.5777777778  n5 n1 n3 n4
 221115_1101 15-Nov-2022 11:01:57 11:05:42 11:09:15    2.490     335.4954337900  n5 n3 n1 n4
 221116_0319 16-Nov-2022 03:19:32 03:20:13 03:21:19    1.640     272.5377358491  n5 n4 n2 n1
 221116_1525 16-Nov-2022 15:25:41 15:39:20 15:40:26    0.965     207.1016949153  n5 n3 n1 n4
 221117_0912 17-Nov-2022 09:12:06 09:15:56 09:34:38    2.487     308.6301775148  n5 n3 n1 n4
 221117_1218 17-Nov-2022 12:18:58 12:19:59 12:26:33    6.036     484.1164835165  n5 n3 n1 n4
 221117_2342 17-Nov-2022 23:42:34 23:45:22 23:51:31    2.159     251.4990689013  n5 n4 n2 n1
 221118_0904 18-Nov-2022 09:04:32 09:05:33 09:18:56    1.306     174.8449074074  n5 n3 n1 n4
 221118_1029 18-Nov-2022 10:29:51 10:33:28 10:44:31    1.427     242.4415437003  n5 n3 n1 n4
 221118_1851 18-Nov-2022 18:51:31 18:52:57 18:53:18    1.972     262.2830188679  n5 n1 n3 n4
 221119_1253 19-Nov-2022 12:53:54 12:54:10 13:08:04   22.764    6355.1764705882  n5 n1 n3 n4
 221119_1312 19-Nov-2022 13:12:49 13:26:32 13:27:25    0.890     194.4789053592  n5 n3 n1 n4
 221121_0214 21-Nov-2022 02:14:33 02:15:10 02:15:55    3.194     438.8292682927  n5 n4 n2 n1
 221121_0332 21-Nov-2022 03:32:55 03:33:57 03:44:11    3.683     318.3579881657  n5 n4 n2 n3
 221121_0344 21-Nov-2022 03:44:36 03:45:58 03:48:29    1.017     189.0686695279  n5 n4 n2 n3
 221122_1223 22-Nov-2022 12:23:08 12:23:57 12:25:07    2.052     252.4957983193  n5 n3 n1 n0
 221122_1350 22-Nov-2022 13:50:56 13:51:24 13:53:07    0.839      88.0458015267  n5 n1 n3 n0
 221122_1859 22-Nov-2022 18:59:34 19:04:37 19:14:15    1.710     307.3984108967  n5 n4 n2 n3
 221130_0621 30-Nov-2022 06:21:18 06:21:55 06:24:30    2.311     323.2953367876  n5 n4 n2 n3
 221130_1119 30-Nov-2022 11:19:33 11:20:31 11:21:20    2.071     357.3962264151  n5 n3 n1 n4
 221130_1612 30-Nov-2022 16:12:42 16:13:15 16:16:56    1.978     234.7204724409  n5 n4 n2 n1
 221130_1707 30-Nov-2022 17:07:02 17:07:31 17:09:34    1.409     172.6184210526  n5 n3 n1 n4
 221201_0113  1-Dec-2022 01:13:29 01:13:38 01:14:02    1.612     368.8181818182  n5 n1 n3 n4
 221201_0712  1-Dec-2022 07:12:46 07:18:39 07:59:57   10.626     381.6395759717  n5 n1 n3 n4
 221202_0916  2-Dec-2022 09:16:35 09:18:49 09:27:04   17.565    2257.1367249603  n5 n3 n1 n4
 221203_0557  3-Dec-2022 05:57:09 05:57:21 05:57:46    2.915     508.5405405405  n5 n3 n1 n4
 221205_0523  5-Dec-2022 05:23:25 05:25:20 05:31:53    1.675     273.5019685039  n5 n3 n1 n4
 221205_1649  5-Dec-2022 16:49:28 16:49:40 16:50:13    1.364     235.8444444444  n5 n1 n3 n4
 221207_1301  7-Dec-2022 13:01:33 13:03:15 13:07:54    7.801     535.6377952756  n5 n1 n3 n0
 221207_1308  7-Dec-2022 13:08:10 13:10:30 13:12:37    1.317     143.6691729323  n5 n1 n3 n4
 221207_1902  7-Dec-2022 19:02:26 19:03:10 19:05:08    8.127    2337.4906832298  n1 n3 n0 n5
 221208_0600  8-Dec-2022 06:00:38 06:01:11 06:03:14    2.745     456.1538461538  n5 n3 n1 n4
 221209_1203  9-Dec-2022 12:03:15 12:06:40 12:21:45    1.793     256.3648648649  n1 n3 n5 n0
 221209_1238  9-Dec-2022 12:38:28 12:39:12 12:41:09    5.641    1710.3375000000  n5 n1 n3 n4
 221209_1241  9-Dec-2022 12:41:54 12:42:06 12:42:15    1.074     790.5000000000  n5 n1 n3 n4
 221209_1406  9-Dec-2022 14:06:35 14:06:44 14:20:51    2.423     254.8796728972  n5 n3 n1 n4
 221209_2146  9-Dec-2022 21:46:05 21:47:39 21:54:45    5.330     413.6730769231  n0 n1 n3 n5
 221210_0608 10-Dec-2022 06:08:31 06:10:42 06:12:16    1.565     223.1688888889  n5 n4 n2 n3
 221210_1019 10-Dec-2022 10:19:00 10:23:01 10:32:31    1.687     260.7743526510  n1 n3 n0 n5
 221210_1033 10-Dec-2022 10:33:48 10:40:42 10:49:35    3.552     253.3298097252  n1 n3 n5 n0
 221210_1808 10-Dec-2022 18:08:46 18:09:15 18:10:33    1.431     300.7264150943  n5 n3 n1 n4
 221211_1131 11-Dec-2022 11:31:32 11:32:09 11:38:18    3.135     369.6674876847  n5 n1 n3 n0
 221212_0028 12-Dec-2022 00:28:20 00:31:04 00:43:25    1.763     268.9248618785  n1 n3 n0 n5
 221212_0054 12-Dec-2022 00:54:29 00:55:02 00:56:48    1.259     190.0287769784  n5 n1 n3 n4
 221214_0027 14-Dec-2022 00:27:34 00:28:03 00:28:40    2.103     404.3787878788  n5 n4 n1 n3
 221214_0326 14-Dec-2022 03:26:16 03:26:36 03:31:27    1.749     275.1832797428  n5 n1 n3 n0
 221214_0436 14-Dec-2022 04:36:43 04:37:11 04:38:09    1.334     232.2441860465  n5 n3 n1 n0
 221214_0731 14-Dec-2022 07:31:41 07:38:06 08:10:40   41.900    1486.8815733219  n5 n4 n1 n3
 221214_0813 14-Dec-2022 08:13:48 08:26:59 08:29:59    7.006     520.6992790937  n5 n4 n2 n3
 221214_0920 14-Dec-2022 09:20:55 09:24:56 09:44:28   22.209     917.5350318471  n5 n1 n3 n0
 221214_1223 14-Dec-2022 12:23:07 12:30:00 12:30:01  207.148   32177.8043478261  n5 n1 n3 n0
 221214_1255 14-Dec-2022 12:55:30 12:58:17 13:05:13    9.618    1119.2847341338  n5 n1 n3 n0
 221214_1435 14-Dec-2022 14:35:14 14:40:28 14:50:28  340.083   79188.3238512035  n5 n3 n1 n4
 221214_1530 14-Dec-2022 15:30:57 15:33:49 15:34:39    0.682     130.8733031674  n5 n4 n3 n1
 221214_1705 14-Dec-2022 17:05:57 17:10:48 17:29:22   45.117    2572.1181494662  n5 n1 n3 n4
 221214_1753 14-Dec-2022 17:53:15 17:53:15 17:53:56    0.690     150.9024390244  n5 n3 n1 n4
 221214_1907 14-Dec-2022 19:07:52 19:09:10 19:11:21   15.271    2759.6442307692  n1 n3 n0 n5
 221214_1932 14-Dec-2022 19:32:01 19:32:26 19:35:34    3.955     335.1079812207  n5 n4 n2 n1
 221214_2035 14-Dec-2022 20:35:26 20:46:38 20:52:22   11.862    1169.4763779528  n3 n1 n5 n0
 221214_2147 14-Dec-2022 21:47:39 22:06:17 22:32:55  137.535    8930.9867452135  n5 n1 n3 n0
 221214_2341 14-Dec-2022 23:41:49 23:44:28 23:52:28   32.753    3207.4733542320  n5 n3 n1 n0
 221214_2353 14-Dec-2022 23:53:04 23:54:27 23:57:48    4.775     473.9260563380  n3 n1 n0 n5
 221215_0002 15-Dec-2022 00:02:22 00:02:47 00:04:01    1.049     237.6020408163  n5 n3 n1 n0
 221215_0108 15-Dec-2022 01:08:48 01:10:14 01:12:33    1.311     214.4000000000  n5 n1 n3 n0
 221215_0117 15-Dec-2022 01:17:44 01:36:50 01:49:38   26.520    2787.0553814002  n5 n1 n3 n0
 221215_0245 15-Dec-2022 02:45:29 02:48:54 02:56:04    1.583     269.6897637795  n5 n3 n1 n0
 221215_0303 15-Dec-2022 03:03:38 03:04:52 03:11:21    2.359     277.4578833693  n3 n1 n0 n5
 221215_0429 15-Dec-2022 04:29:46 04:30:55 04:48:40    2.698     313.0810572687  n1 n5 n3 n0
 221215_0608 15-Dec-2022 06:08:29 06:09:22 06:11:08    1.953     319.3062500000  n3 n1 n0 n5
 221215_0718 15-Dec-2022 07:18:19 07:57:34 08:14:26    3.363     283.8990198990  n5 n1 n3 n0
 221215_0926 15-Dec-2022 09:26:07 09:27:17 09:33:05    3.608     340.5143540670  n3 n1 n5 n0
 221215_1028 15-Dec-2022 10:28:35 10:29:40 10:38:12    4.953     626.3321799308  n5 n4 n2 n3
 221215_1100 15-Dec-2022 11:00:09 11:03:29 11:11:57    0.945     203.8674188999  n1 n3 n5 n0
