Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1201   Time range: 06-Jul-2012 00:00:00.000 - 13-Jan-2014 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 120710_0605 10-Jul-2012 06:05:34 06:10:05 06:15:08   10.401    1488.4328097731  n5 n4 n2 n1
 120710_0829 10-Jul-2012 08:29:51 08:32:47 08:37:21    6.225     326.2616407982  n5 n4 n2 n3
 120710_0902 10-Jul-2012 09:02:04 09:03:10 09:07:36    8.703     791.0301204819  n1 n3 n5 n0
 120710_1013 10-Jul-2012 10:13:33 10:16:08 10:28:46    6.428     506.5673603505  n5 n3 n1 n4
 120710_1210 10-Jul-2012 12:10:17 12:19:25 12:29:32   44.128    4257.9116883117  n5 n1 n3 n0
 120710_1232 10-Jul-2012 12:32:36 12:33:42 12:34:43    2.993     266.6929133858  n5 n4 n2 n1
 120710_1340 10-Jul-2012 13:40:36 13:43:28 13:53:28   28.835    6915.1645077720  n3 n1 n5 n0
 120710_1355 10-Jul-2012 13:55:47 13:58:07 13:58:56    0.824     142.4840425532  n5 n3 n1 n0
 120710_1528 10-Jul-2012 15:28:01 15:30:43 15:35:16   38.209    6148.2275862069  n5 n1 n3 n0
 120710_1541 10-Jul-2012 15:41:31 15:43:38 15:48:12   18.062    1530.7680798005  n5 n4 n2 n1
 120710_2008 10-Jul-2012 20:08:56 20:10:06 20:16:04   29.755    6169.9230769231  n3 n1 n5 n0
 120710_2300 10-Jul-2012 23:00:06 23:00:55 23:01:28    2.005     309.7073170732  n5 n3 n1 n0
 120711_0511 11-Jul-2012 05:11:47 05:12:28 05:13:33    2.479     317.9716981132  n5 n4 n2 n1
 120711_0528 11-Jul-2012 05:28:35 05:32:24 05:36:05    1.659     267.7494456763  n3 n1 n5 n0
 120711_0826 11-Jul-2012 08:26:33 08:29:41 08:40:08   17.199     894.3742331288  n5 n3 n1 n4
 120711_1617 11-Jul-2012 16:17:39 16:17:39 16:17:39    0.622       0.0000000000  n5 n4 n2 n3
 120711_2305 11-Jul-2012 23:05:24 23:05:48 23:06:25    5.377     956.7704918033  n1 n3 n5 n0
 120712_1610 12-Jul-2012 16:10:27 16:47:06 17:09:21  966.663  274561.1228070175  n5 n1 n3 n0
 120712_1745 12-Jul-2012 17:45:57 18:13:54 18:28:06   23.993    4793.4225296443  n3 n1 n0 n5
 120712_1921 12-Jul-2012 19:21:29 19:46:41 20:01:13    3.953     641.1166107383  n1 n3 n5 n0
 120712_2103 12-Jul-2012 21:03:59 21:35:27 21:42:29    6.636     328.4562770563  n5 n3 n1 n0
 120713_0031 13-Jul-2012 00:31:42 00:32:07 00:32:31    3.002     402.5102040816  n3 n1 n0 n5
