Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1232   Time range: 14-Nov-2014 00:00:00.000 - 01-Jun-2017 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 150315_2347 15-Mar-2015 23:47:39 00:02:24 00:21:27    1.212     204.4299802761  n5 n3 n1 n4
 150316_0820 16-Mar-2015 08:20:48 08:20:48 08:22:34    1.996     333.4622641509  n1 n3 n0 n5
 150316_0948 16-Mar-2015 09:48:40 09:52:21 09:55:17    1.854     268.7178841310  n5 n3 n1 n0
 150316_1051 16-Mar-2015 10:51:53 10:59:03 11:26:54   31.972    2705.0556877677  n5 n4 n2 n3
 150316_1258 16-Mar-2015 12:58:11 12:58:11 12:58:43    1.915     331.0303030303  n5 n3 n1 n0
 150316_2039 16-Mar-2015 20:39:12 20:43:13 20:59:23   72.682    9802.0685383980  n1 n3 n0 n5
 150317_0150 17-Mar-2015 01:50:45 01:51:22 01:53:08    5.654     464.0419580420  n5 n3 n1 n4
 150317_2328 17-Mar-2015 23:28:32 23:30:46 23:50:36   32.725    2334.6566037736  n5 n1 n3 n4
 150318_0503 18-Mar-2015 05:03:05 05:03:46 05:06:05    2.613     311.8444444444  n5 n1 n3 n4
 150318_0742 18-Mar-2015 07:42:34 07:46:27 08:01:00   14.839    1338.7712477396  n5 n1 n3 n4
 150318_0947 18-Mar-2015 09:47:46 09:49:16 09:52:20    1.335     155.3138686131  n5 n4 n2 n3
 150318_1035 18-Mar-2015 10:35:50 10:36:43 10:37:16    0.959      91.8255813953  n5 n1 n3 n4
 150318_1248 18-Mar-2015 12:48:36 12:50:27 12:51:20    1.923     264.6097560976  n5 n3 n1 n4
 150318_1253 18-Mar-2015 12:53:40 12:54:25 12:55:55    3.620     341.3259259259  n5 n3 n1 n4
 150318_1422 18-Mar-2015 14:22:41 14:23:30 14:24:48    1.727     272.3622047244  n5 n1 n3 n0
 150318_1608 18-Mar-2015 16:08:07 16:10:06 16:15:41    7.975     587.7252747253  n5 n4 n2 n3
 150319_0129 19-Mar-2015 01:29:18 01:30:08 01:31:58    2.276     274.7375000000  n5 n3 n1 n0
 150319_1235 19-Mar-2015 12:35:33 12:36:02 12:36:47    2.093     319.1216216216  n5 n1 n3 n0
 150320_0059 20-Mar-2015 00:59:15 01:19:15 01:37:04    6.538     674.6932569414  n5 n1 n3 n0
 150323_0723 23-Mar-2015 07:23:03 07:23:08 07:23:28    1.681     364.9200000000  n5 n3 n1 n4
 150325_0138 25-Mar-2015 01:38:31 01:39:16 01:46:10    4.779     409.7647058824  n5 n4 n2 n1
 150325_0323 25-Mar-2015 03:23:19 03:23:43 03:24:28    2.777     446.1285714286  n5 n4 n2 n1
 150325_0438 25-Mar-2015 04:38:57 04:43:28 05:08:23   28.281    1328.1104815864  n5 n4 n2 n1
 150325_0825 25-Mar-2015 08:25:44 08:28:16 08:30:19    4.251     330.9051094891  n5 n1 n3 n4
 150325_1633 25-Mar-2015 16:33:01 16:33:34 16:38:53    4.574     375.2130681818  n5 n3 n1 n4
